IBGE,Municipio,Drought_Months_Count,Drought_Frequency_Percent,Drought_Months_List
3548807,São Caetano do Sul,2.0,16.666666666666664,"[2.0, 4.0]"
3548708,São Bernardo do Campo,3.0,25.0,"[2.0, 4.0, 12.0]"
3547809,Santo André,1.0,8.333333333333332,[2.0]
3513801,Diadema,2.0,16.666666666666664,"[2.0, 4.0]"
3529401,Mauá,2.0,16.666666666666664,"[2.0, 4.0]"
3544103,Rio Grande da Serra,2.0,16.666666666666664,"[2.0, 7.0]"
3543303,Ribeirão Pires,1.0,8.333333333333332,[2.0]
3550605,São Roque,2.0,16.666666666666664,"[2.0, 4.0]"
3523909,Itu,3.0,25.0,"[2.0, 4.0, 11.0]"
3545209,Salto,3.0,25.0,"[2.0, 4.0, 11.0]"
3528403,Mairinque,3.0,25.0,"[2.0, 4.0, 7.0]"
3510302,Capela do Alto,2.0,16.666666666666664,"[2.0, 7.0]"
3551108,Sarapuí,2.0,16.666666666666664,"[2.0, 7.0]"
3525854,Jumirim,2.0,16.666666666666664,"[2.0, 7.0]"
3540606,Porto Feliz,4.0,33.33333333333333,"[2.0, 4.0, 7.0, 11.0]"
3507001,Boituva,3.0,25.0,"[2.0, 4.0, 7.0]"
3554508,Tietê,2.0,16.666666666666664,"[2.0, 7.0]"
3537909,Pilar do Sul,3.0,25.0,"[2.0, 4.0, 7.0]"
3537800,Piedade,4.0,33.33333333333333,"[2.0, 4.0, 7.0, 11.0]"
3553500,Tapiraí,3.0,25.0,"[2.0, 4.0, 7.0]"
3521002,Iperó,3.0,25.0,"[2.0, 4.0, 7.0]"
3519709,Ibiúna,3.0,25.0,"[2.0, 4.0, 7.0]"
3511508,Cerquilho,2.0,16.666666666666664,"[2.0, 7.0]"
3502754,Araçariguama,2.0,16.666666666666664,"[2.0, 4.0]"
3501152,Alumínio,3.0,25.0,"[2.0, 4.0, 7.0]"
3557006,Votorantim,5.0,41.66666666666667,"[1.0, 2.0, 4.0, 7.0, 11.0]"
3545308,Salto de Pirapora,4.0,33.33333333333333,"[1.0, 2.0, 4.0, 7.0]"
3502903,Araçoiaba da Serra,4.0,33.33333333333333,"[1.0, 2.0, 4.0, 7.0]"
3552205,Sorocaba,5.0,41.66666666666667,"[1.0, 2.0, 4.0, 7.0, 11.0]"
3500758,Alambari,2.0,16.666666666666664,"[2.0, 7.0]"
3522307,Itapetininga,1.0,8.333333333333332,[7.0]
3550209,São Miguel Arcanjo,2.0,16.666666666666664,"[2.0, 7.0]"
3554003,Tatuí,2.0,16.666666666666664,"[2.0, 7.0]"
3511607,Cesário Lange,2.0,16.666666666666664,"[2.0, 7.0]"
3520509,Indaiatuba,3.0,25.0,"[2.0, 4.0, 11.0]"
3524709,Jaguariúna,1.0,8.333333333333332,[2.0]
3548005,Santo Antônio de Posse,1.0,8.333333333333332,[2.0]
3537107,Pedreira,1.0,8.333333333333332,[2.0]
3503802,Artur Nogueira,1.0,8.333333333333332,[2.0]
3519055,Holambra,1.0,8.333333333333332,[2.0]
3501608,Americana,2.0,16.666666666666664,"[2.0, 4.0]"
3533403,Nova Odessa,2.0,16.666666666666664,"[2.0, 4.0]"
3545803,Santa Bárbara d'Oeste,4.0,33.33333333333333,"[2.0, 4.0, 7.0, 11.0]"
3509502,Campinas,2.0,16.666666666666664,"[2.0, 11.0]"
3556701,Vinhedo,3.0,25.0,"[2.0, 4.0, 11.0]"
3531803,Monte Mor,4.0,33.33333333333333,"[1.0, 2.0, 4.0, 11.0]"
3556206,Valinhos,3.0,25.0,"[2.0, 4.0, 11.0]"
3512803,Cosmópolis,2.0,16.666666666666664,"[2.0, 4.0]"
3536505,Paulínia,1.0,8.333333333333332,[2.0]
3552403,Sumaré,2.0,16.666666666666664,"[2.0, 11.0]"
3519071,Hortolândia,3.0,25.0,"[2.0, 4.0, 11.0]"
3523404,Itatiba,1.0,8.333333333333332,[2.0]
3532009,Morungaba,1.0,8.333333333333332,[2.0]
3515152,Engenheiro Coelho,0.0,0.0,[]
